 |Site1|Site2|Site3|Site4|Site5|Site6|Site7|Site8|Site9|Site10|Site11|Site12|Site13|Site14|Site15|Site16|Site17|Site18|Site19|Site20|Site21|Site22|Site23|Site24|Site25|Site26|Site27|Site28|Site29|Site30|Site31|Site32|Site33|Site34|Site35|Site36|Site37|Site38|Site39|Site40|Site41|Site42|Site43|Site44|Site45|Site46|Site47|Site48|Site49|Site50|Site51|Site52|Site53|Site54|Site55|Site56|Site57|Site58|Site59|Site60|Site61|Site62|Site63|Site64|Site65|Site66|Site67|Site68|Site69|Site70|Site71|Site72|Site73|Site74|Site75|Site76|Site77|Site78|Site79|Site80|Site81|Site82|Site83|Site84|Site85|Site86|Site87
Mirror-Mad Phantasm|5|29|53|29|2|9|26|8|3|37|66|1|2|1|11|7|1|17|5|8|0|2|6|42|3|4|10|0|33|4|1|8|2|3|2|8|46|0|6|0|40|0|1|2|0|2|1|9|0|10|3|2|3|1|2|0|3|7|2|3|8|1|0|0|1|23|2|14|11|4|46|9|1|1|7|96|30|10|72|52|55|32|22|22|92|73|63
Moon Heron|53|631|5|46|40|10|300|2|11|18|72|6|1|10|46|0|7|2|37|34|2|42|7|48|11|13|18|2|36|2|6|8|2|3|2|8|46|0|6|0|40|0|1|2|0|2|1|9|0|10|3|2|1|4|2|0|3|7|2|3|8|0|0|0|1|23|2|14|11|4|46|9|1|1|43|94|44|24|12|66|92|9|14|28|22|68|67
Murder of Crows|27|0|26|12|24|22|298|10|11|30|42|6|2|3|6|26|14|6|11|38|88|4|5|87|11|19|7|2|13|3|4|8|2|3|2|8|46|0|6|0|40|0|1|2|2|1|1|9|0|10|3|1|1|0|2|0|2|7|2|3|8|0|0|0|1|23|2|14|11|4|46|9|1|1|31|42|92|32|47|95|47|0|51|42|69|50|7
Rooftop Storm|27|104|0|12|24|10|0|0|11|30|2|6|6|8|6|26|2|6|2|38|18|0|5|87|11|19|7|2|13|1|4|12|2|3|2|8|46|0|6|0|40|0|1|2|2|2|1|9|0|10|3|1|1|0|10|0|2|7|2|3|8|0|0|0|1|23|2|14|11|4|46|9|1|1|88|47|14|19|85|84|12|83|94|61|34|42|4
Runic Repetition|20|46|43|49|4|46|0|0|1|88|85|5|1|8|41|35|9|10|16|12|84|4|15|85|1|10|1|2|10|3|4|12|3|3|2|8|46|0|6|0|40|0|0|0|2|2|2|9|0|10|3|1|1|4|1|0|2|7|2|3|8|0|0|0|1|23|2|14|11|4|46|9|1|1|3|13|8|88|95|95|69|65|57|17|89|96|34
Selhoff Occultist|6|224|18|0|29|32|185|4|6|40|77|7|6|3|35|18|5|0|62|23|18|26|49|40|1|14|8|2|5|0|6|12|3|3|2|8|46|0|6|0|40|0|1|0|2|2|5|9|0|10|3|1|1|3|1|0|0|7|2|3|8|0|0|0|1|23|2|14|11|4|46|9|1|1|32|21|73|97|19|47|97|89|78|18|47|4|4
Sensory Deprivation|59|797|49|64|54|53|583|11|4|74|174|18|4|68|0|76|49|26|0|37|2|18|128|36|12|54|3|2|61|6|2|12|3|3|2|8|46|1|6|1|40|0|1|0|2|1|5|9|0|10|3|2|1|1|1|0|0|7|2|3|8|1|0|2|1|23|2|14|11|4|46|9|1|1|14|57|27|87|0|68|91|63|79|93|15|64|47
Silent Departure|53|413|13|121|12|8|463|2|30|45|39|2|2|18|33|0|17|15|66|50|17|0|10|11|5|116|7|2|60|2|101|12|5|3|2|8|46|2|6|2|40|3|1|0|4|4|5|9|0|10|2|2|1|2|2|0|1|15|2|3|8|1|0|2|1|6|2|11|11|2|46|9|1|1|50|14|67|38|67|55|23|1|3|51|30|63|55
Skaab Goliath|41|724|63|70|28|0|95|4|1|13|103|28|7|90|176|111|11|32|5|30|97|0|128|30|25|7|21|6|69|1|12|12|2|3|2|2|46|1|6|2|40|21|1|0|4|4|1|9|0|10|13|2|2|1|2|6|1|15|2|3|2|1|0|10|8|6|2|2|24|2|40|9|1|1|3|13|66|0|37|73|3|19|25|54|38|98|15
Skaab Ruinator|0|23|4|70|28|0|20|3|1|6|2|3|7|90|176|11|11|32|5|30|1|0|0|5|25|7|21|6|1|1|12|2|16|4|2|2|46|0|2|0|40|21|1|4|4|1|1|9|0|10|13|2|2|1|5|6|1|15|2|3|2|2|0|10|4|6|2|2|24|2|40|9|1|1|57|13|55|1|5|20|95|18|60|84|42|95|89
Snapcaster Mage|2|25|4|3|28|0|0|3|4|6|4|3|7|0|176|11|11|32|5|30|1|0|0|5|1|7|21|6|1|1|12|2|1|2|2|2|46|0|4|0|1|21|1|4|4|3|1|1|0|10|1|6|2|1|5|6|1|1|2|3|2|2|0|10|8|6|2|2|24|2|40|9|1|1|24|31|34|27|45|24|68|5|83|63|76|94|22
Spectral Flight|1|51|114|32|28|2|406|3|3|20|56|0|51|52|59|11|11|32|0|2|1|6|25|48|2|20|5|6|3|2|12|2|1|2|2|2|46|0|4|0|5|4|1|4|1|1|1|1|0|10|1|5|2|3|3|6|1|1|2|3|2|2|0|10|8|6|2|2|24|2|40|9|1|1|27|44|75|77|14|33|84|72|49|31|91|70|35
Stitched Drake|116|767|7|8|51|13|1173|29|18|10|102|10|29|6|90|17|8|0|42|12|15|21|1|112|9|20|2|6|43|2|12|2|28|2|2|2|46|0|4|45|5|17|1|4|0|0|3|10|0|10|1|5|2|3|3|6|2|1|2|3|2|0|0|10|8|6|2|2|24|2|40|9|1|1|43|64|2|68|29|81|27|48|84|27|32|1|34
Stitcher's Apprentice|26|74|6|17|8|38|147|6|0|27|77|11|2|42|215|45|26|9|47|40|3|19|72|29|0|8|24|1|44|0|16|2|28|2|2|2|46|0|6|45|5|17|2|4|1|0|3|10|0|10|1|5|2|6|3|6|1|1|2|3|2|0|0|10|8|6|2|2|24|2|40|9|1|1|26|79|21|95|42|54|64|76|52|59|5|39|22
Sturmgeist|58|116|1|41|1|9|157|10|0|5|0|4|2|16|38|22|1|6|47|7|7|2|3|14|2|8|6|3|22|2|16|9|28|3|2|4|46|2|6|0|5|17|2|1|1|0|3|10|0|10|1|5|2|6|3|6|1|0|2|2|2|1|0|10|1|6|2|2|24|2|40|9|1|1|56|2|58|79|12|13|36|75|30|71|28|57|21
Think Twice|18|305|14|4|1|9|156|10|4|5|10|4|2|16|5|22|13|6|47|7|13|2|3|23|1|1|10|3|22|2|5|9|28|2|2|4|46|2|6|1|0|17|0|21|1|0|2|10|0|13|1|5|2|0|24|2|10|0|2|2|1|1|3|6|1|6|2|2|24|2|40|9|1|1|75|14|46|9|17|40|2|13|90|27|77|29|12
Undead Alchemist|18|2|14|2|1|9|1|3|4|5|2|4|2|3|5|3|13|6|47|7|13|2|0|22|1|1|10|3|22|2|5|3|28|3|2|4|46|2|2|1|0|17|0|0|1|2|2|10|0|13|1|5|2|0|24|2|10|0|2|2|1|1|3|6|1|6|2|2|24|2|40|9|1|1|61|28|89|15|90|94|62|81|18|77|1|67|32
Abattoir Ghoul|110|307|47|14|1|68|215|5|4|50|106|2|3|21|53|16|2|4|0|17|49|2|6|85|11|36|10|3|2|2|4|3|28|3|2|4|46|2|2|1|0|27|0|18|3|2|2|1|0|13|3|1|2|8|24|2|10|0|2|2|1|1|3|6|1|6|2|2|24|2|40|9|1|1|6|79|38|23|60|45|95|69|63|37|30|91|90
Altar's Reap|73|213|73|30|12|86|204|11|42|264|364|134|104|150|130|190|180|45|135|123|8|5|0|208|16|20|17|1|5|23|148|3|49|3|2|9|11|1|2|1|0|68|1|14|28|4|22|1|32|13|3|128|7|6|8|4|0|0|0|2|1|6|3|4|1|18|2|2|1|7|4|2|2|1|1|69|28|65|58|92|96|4|53|46|43|24|80
Army of the Damned|7|72|73|5|12|4|36|11|3|12|0|134|3|3|130|190|180|45|135|3|2|5|1|49|16|20|17|1|5|23|148|4|4|2|2|9|11|1|6|1|0|6|2|14|2|4|22|2|32|13|3|128|7|6|8|4|0|0|0|2|1|6|3|1|1|18|2|2|1|7|4|2|2|1|1|30|64|62|33|63|65|50|33|61|21|21|17
Bitterheart Witch|22|391|16|15|4|33|403|8|3|11|43|3|4|7|58|6|3|3|28|2|33|3|3|23|2|7|14|1|30|6|8|4|4|2|2|9|11|1|6|1|0|6|2|14|2|1|22|2|32|13|3|128|7|2|8|4|0|0|0|2|1|1|3|1|1|18|2|2|1|7|4|2|2|1|1|53|65|78|0|34|14|9|97|28|24|1|94
Bloodgift Demon|22|21|16|3|4|6|23|8|3|1|4|2|13|2|58|0|3|3|28|2|33|3|3|23|2|7|14|1|30|6|8|6|4|1|2|9|11|1|6|5|0|6|2|14|2|2|22|2|32|13|1|128|7|2|10|4|0|1|0|2|1|2|3|1|1|18|2|2|1|7|4|2|2|1|1|61|2|71|39|99|99|3|47|23|8|34|68
Bloodline Keeper|22|21|16|3|4|6|23|8|3|1|2|2|13|13|58|0|4|3|28|2|33|3|3|0|1|7|14|1|30|6|8|6|4|1|2|9|11|1|6|5|0|6|2|14|2|1|22|2|32|13|1|128|7|2|0|4|0|1|0|2|1|2|3|1|1|18|2|2|1|7|4|2|2|1|1|65|40|14|29|30|73|65|9|9|49|48|25
Lord of Lineage|22|0|16|3|4|6|23|8|3|1|2|2|13|13|58|0|4|3|28|2|33|3|3|0|1|7|14|1|30|6|8|6|4|1|2|9|11|1|6|5|0|6|2|14|2|1|22|2|32|13|1|128|7|2|0|4|0|1|0|2|1|2|3|1|1|18|2|2|1|7|4|2|2|1|1|57|25|57|21|74|33|36|78|50|20|95|99
Brain Weevil|58|81|4|13|2|19|771|20|1|46|76|24|5|3|98|18|7|3|1|53|13|18|0|59|13|40|1|0|34|5|2|6|6|1|2|9|11|1|6|5|0|6|2|14|2|1|2|2|32|13|1|1|0|2|0|4|0|1|0|2|1|2|3|1|1|18|2|2|1|7|4|2|2|1|1|32|56|7|86|57|8|76|16|49|99|51|25
Bump in the Night|58|306|22|13|2|2|771|7|1|46|0|24|0|39|98|18|7|3|10|3|8|18|0|59|0|2|1|0|34|1|2|6|7|14|2|9|11|1|6|5|0|6|2|14|2|4|2|2|32|13|1|2|0|2|4|4|0|1|4|0|4|2|6|1|1|18|2|2|1|7|4|2|2|1|1|76|5|73|83|62|82|8|48|61|49|63|39
Corpse Lunge|24|501|18|14|17|38|251|15|1|29|67|11|4|28|85|56|10|4|34|35|79|23|5|57|11|27|7|0|19|3|8|6|7|2|2|9|11|0|6|5|0|6|2|14|2|4|1|2|32|13|1|2|0|2|4|4|0|1|4|0|4|2|6|1|1|18|2|2|1|7|4|2|2|1|1|30|0|32|92|75|77|82|94|57|42|53|25
Curse of Death's Hold|4|58|5|30|2|15|128|15|5|1|0|11|1|2|14|1|10|4|34|8|23|23|5|33|11|27|7|0|19|3|7|34|22|4|1|9|11|4|6|2|0|1|2|3|2|4|1|2|32|13|1|2|0|2|24|1|0|1|4|7|4|1|0|1|4|18|2|2|1|7|4|2|2|1|1|19|96|21|59|11|69|24|53|52|80|1|35
Curse of Oblivion|51|304|0|0|27|36|228|2|1|59|5|22|1|33|83|47|10|6|10|19|57|36|16|32|3|18|21|2|10|9|0|34|22|4|1|9|11|4|6|2|0|1|2|3|2|4|2|2|32|13|1|1|0|3|24|1|1|1|4|7|4|2|0|1|4|18|2|2|1|7|4|2|2|1|1|63|68|5|61|42|53|52|94|53|78|85|48
Dead Weight|66|162|5|0|27|36|124|13|4|6|52|50|5|88|13|8|1|6|10|8|0|3|9|44|27|52|4|2|7|25|4|17|27|13|1|31|16|3|6|2|0|13|1|20|2|9|2|18|5|2|1|1|1|5|1|1|5|1|4|0|4|2|2|10|4|0|2|0|7|5|4|4|6|1|1|2|31|25|40|86|78|79|85|41|55|98|60
Diregraf Ghoul|0|214|11|0|0|2|110|13|2|10|5|50|4|48|12|2|0|3|10|8|28|3|9|5|7|10|4|2|2|25|4|1|4|13|1|1|16|3|6|1|0|0|1|20|2|9|3|2|5|2|1|0|1|5|21|1|2|2|4|0|8|2|2|10|4|0|2|0|7|5|4|4|6|1|1|2|15|67|94|66|59|64|8|45|96|35|43
Disciple of Griselbrand|19|144|5|9|10|12|183|7|1|2|103|14|17|12|46|22|10|3|4|22|8|12|2|0|0|10|1|2|8|3|5|1|6|13|1|1|16|3|6|1|0|3|1|20|2|0|0|2|5|2|1|1|1|5|0|1|2|2|4|0|8|2|2|10|4|0|2|0|7|5|4|4|6|1|1|2|0|69|36|14|18|63|46|69|39|54|35
Endless Ranks of the Dead|19|14|5|2|2|12|183|7|1|2|2|14|2|3|46|22|10|3|4|22|8|12|2|11|0|10|1|2|8|3|5|1|6|13|1|1|16|2|6|1|0|3|3|20|2|0|0|2|5|2|1|1|1|5|0|1|2|2|4|0|8|2|2|10|4|0|2|0|7|5|4|4|6|1|1|2|72|50|33|88|12|63|44|79|66|53|98
Falkenrath Noble|100|219|13|11|18|20|840|20|97|90|117|37|10|77|27|9|13|1|75|26|87|4|4|16|38|29|3|1|30|7|41|1|31|251|14|1|61|3|6|46|0|1|2|3|3|0|14|11|5|2|10|22|2|5|0|1|2|2|4|0|8|2|9|12|3|5|2|0|24|5|4|7|6|1|1|2|59|97|79|66|79|79|47|0|30|60|88
Ghoulcaller's Chant|100|57|2|11|18|4|840|21|97|5|32|37|2|11|38|9|2|1|4|2|1|4|4|16|6|29|3|0|1|7|1|1|31|251|14|1|61|3|6|46|0|1|2|3|3|1|16|11|5|2|10|22|6|5|12|1|2|2|4|0|8|2|9|12|3|5|2|0|24|5|4|7|6|1|1|2|70|66|64|22|55|40|69|65|38|10|46
Ghoulraiser|13|821|4|8|18|7|520|13|19|1|20|1|10|7|7|7|1|1|49|4|0|9|2|52|14|7|4|0|6|7|1|1|31|251|14|1|61|3|6|46|0|1|2|4|4|2|15|0|5|2|10|22|5|7|12|1|2|2|4|0|8|2|9|12|3|5|2|0|24|5|4|7|6|1|1|2|66|51|4|70|84|8|38|3|11|64|56
Gruesome Deformity|36|135|14|48|16|26|413|3|1|1|153|14|8|28|0|30|29|7|26|2|42|0|0|3|6|10|11|0|34|3|5|1|31|251|14|1|61|0|6|46|0|1|2|4|4|2|15|0|5|2|10|1|5|7|1|1|2|2|4|0|8|2|9|12|3|5|2|0|24|5|4|7|6|1|1|2|21|48|43|33|82|46|47|98|30|29|43
Heartless Summoning|36|4|1|1|2|26|413|3|1|1|1|1|1|12|0|13|29|0|26|2|0|0|0|3|6|10|11|0|34|3|5|2|8|251|14|1|61|1|6|7|0|1|2|4|4|2|15|0|5|2|1|1|5|7|2|1|2|2|4|12|8|2|9|12|2|5|2|0|2|5|4|7|6|1|1|2|19|84|11|90|87|28|8|2|70|40|6
Liliana of the Veil|0|1|1|1|2|26|8|3|1|1|0|1|1|12|2|13|3|0|26|2|0|0|0|3|6|10|11|0|34|3|5|2|8|251|14|1|2|1|12|6|0|1|2|4|4|2|15|0|5|2|1|2|5|7|2|0|2|2|4|12|8|4|9|12|2|5|2|0|2|5|4|7|6|1|1|2|52|30|70|6|3|87|67|11|78|82|71
Manor Skeleton|7|462|19|22|2|31|495|2|1|3|33|14|3|31|228|2|12|1|3|12|34|38|3|8|17|32|2|0|14|1|0|2|1|251|14|1|2|1|12|6|0|1|2|4|0|2|4|0|5|2|1|3|5|2|2|0|2|2|4|12|8|4|9|12|2|5|2|0|2|5|4|7|6|1|1|2|57|38|12|33|17|13|78|13|14|93|19
Markov Patrician|65|462|29|14|2|9|440|2|0|19|122|7|10|59|164|15|8|4|16|27|23|18|0|15|10|22|25|0|22|2|9|2|1|251|14|1|2|1|12|6|0|1|2|4|0|2|5|0|5|2|1|3|5|0|2|4|2|2|4|12|8|4|9|12|2|5|2|0|2|5|4|7|6|1|1|2|32|25|80|41|9|27|74|92|40|50|91
Maw of the Mire|22|595|18|55|0|24|245|4|0|7|36|8|14|30|264|48|5|19|8|32|25|24|18|15|11|9|32|0|19|5|2|2|1|3|14|1|2|1|12|6|0|1|2|4|0|2|4|0|5|2|1|2|5|5|2|4|2|2|4|12|8|0|9|12|2|5|2|0|2|5|4|7|6|1|1|2|72|57|60|12|15|14|41|4|72|46|70
Moan of the Unhallowed|106|305|58|3|20|18|993|10|2|98|96|8|16|9|18|53|2|1|14|17|17|2|8|70|2|31|1|0|6|2|0|2|0|3|14|1|2|1|12|6|0|27|2|61|1|1|4|2|5|2|7|2|5|5|2|4|10|2|4|12|8|0|9|12|2|5|2|0|2|5|4|7|6|1|1|2|97|86|67|90|7|5|25|83|71|58|34
Morkrut Banshee|100|203|37|61|49|0|531|18|2|162|110|1|16|51|122|20|65|3|18|61|0|24|12|99|1|13|4|0|24|2|4|2|4|1|14|1|2|1|12|5|0|17|2|8|1|1|2|2|5|2|7|4|5|5|2|4|1|2|4|12|8|0|9|12|2|5|2|0|2|5|4|7|6|1|1|2|52|98|18|13|49|47|13|82|50|82|23
Night Terrors|6|584|8|58|60|20|540|10|66|53|162|14|3|80|126|65|42|15|19|24|48|23|88|56|29|0|60|0|138|5|26|2|5|48|1|1|32|1|12|34|0|20|13|1|5|1|8|11|5|2|15|8|6|3|2|4|1|2|4|12|8|0|9|18|5|18|2|0|7|5|4|4|6|1|1|2|70|35|27|89|14|5|3|93|11|40|34
Reaper from the Abyss|7|22|8|58|60|20|540|2|1|10|4|0|3|1|126|65|42|15|19|24|1|23|88|2|29|0|60|0|138|5|26|8|5|48|1|1|32|1|4|34|0|20|13|1|5|1|8|11|5|2|15|8|6|3|2|4|1|2|4|1|8|0|9|18|5|18|2|0|7|5|4|4|6|1|1|2|15|86|27|23|71|64|53|65|22|31|54
Rotting Fensnake|8|0|18|0|4|36|429|12|6|7|45|20|11|34|53|56|28|13|24|0|72|14|31|30|15|3|10|7|32|6|14|8|5|48|1|1|32|1|4|34|0|20|13|1|1|1|1|11|5|2|15|8|0|3|2|4|1|2|4|1|8|0|9|18|5|18|2|0|7|5|4|4|6|1|1|2|80|23|39|63|73|72|13|89|15|77|0
Screeching Bat|6|34|33|12|4|11|429|5|3|7|0|5|0|35|84|22|28|10|15|27|4|8|8|2|11|2|10|1|15|6|4|8|5|48|1|1|32|1|4|1|0|0|13|1|1|1|1|11|5|2|15|1|0|3|2|4|1|2|4|1|8|0|9|18|5|18|2|0|7|5|4|4|6|1|1|2|85|60|46|29|57|14|4|7|81|93|5
Stalking Vampire|6|65|33|3|4|11|206|5|3|7|0|5|1|35|84|22|28|10|15|27|4|8|8|2|11|2|10|1|15|6|4|8|5|48|1|1|32|1|4|1|0|0|13|1|1|1|1|11|5|2|15|1|0|3|2|4|1|2|4|1|8|0|9|18|5|18|2|0|7|5|4|4|6|1|1|2|34|1|66|12|19|80|96|48|56|93|78
Sever the Bloodline|173|260|4|39|9|23|625|14|18|142|16|0|2|14|4|86|9|2|3|8|59|1|0|46|11|18|15|1|85|2|15|16|4|31|2|1|5|10|4|29|4|46|5|29|1|3|4|11|5|1|11|7|0|1|2|2|8|1|4|4|8|2|4|3|5|6|2|0|7|5|4|4|6|1|1|2|52|65|24|2|33|70|53|6|4|76|26
Skeletal Grimace|0|486|0|46|9|10|393|16|18|8|29|20|16|42|0|19|9|1|3|19|0|4|41|7|2|6|15|1|15|0|0|16|4|31|2|1|5|10|4|29|4|46|5|29|1|3|4|11|5|1|11|1|0|2|2|2|8|1|1|1|8|2|4|3|5|6|2|0|7|5|4|4|6|1|1|2|87|91|90|20|86|96|10|59|4|75|11
Skirsdag High Priest|1|27|0|46|1|1|393|10|3|8|1|20|16|13|0|19|5|1|3|2|29|4|41|22|2|6|15|1|1|0|0|16|1|2|0|1|5|2|10|11|4|46|5|29|1|1|4|11|5|1|11|1|0|2|2|2|2|1|1|3|8|2|4|3|5|6|3|0|7|5|4|4|6|1|1|2|88|12|21|9|14|38|46|0|43|29|48
Stromkirk Patrol|28|300|22|3|5|8|0|7|0|25|92|2|21|48|127|22|22|11|22|32|25|19|57|90|29|0|22|8|41|8|5|16|2|2|0|1|5|1|10|11|4|78|5|29|0|1|2|11|5|1|10|4|0|1|2|2|2|1|1|3|8|2|4|3|5|6|3|0|7|5|4|4|6|1|1|2|54|2|53|90|26|16|47|98|40|55|23
Tribute to Hunger|63|244|1|2|9|29|253|1|4|25|2|2|1|24|45|2|14|9|37|24|51|19|4|7|2|5|22|8|1|6|2|16|22|2|0|1|5|1|10|2|4|78|5|18|2|2|4|10|5|4|10|0|0|2|2|1|2|1|1|0|3|2|4|3|5|6|3|0|7|5|4|4|6|1|1|2|63|32|57|55|5|25|76|80|60|16|60
Typhoid Rats|10|0|0|31|9|29|1026|14|4|283|448|37|28|165|234|1|70|50|19|80|20|31|37|0|32|32|71|8|18|18|16|6|22|2|0|38|5|90|10|2|4|78|5|18|1|2|11|10|5|4|2|23|8|1|31|1|2|1|1|5|3|2|4|3|5|16|3|11|25|7|8|4|6|1|1|2|13|92|58|88|31|44|60|11|58|38|87
Unbreathing Horde|1|168|7|0|9|0|165|14|4|2|1|37|28|4|234|1|70|50|19|80|6|5|37|0|32|32|71|8|18|18|16|6|22|2|0|38|5|90|10|2|4|78|5|11|1|2|11|2|5|4|2|23|8|1|31|1|2|3|1|1|3|2|4|3|5|16|3|11|25|7|8|4|6|1|1|2|18|3|90|82|82|43|87|27|99|63|53
Unburial Rites|21|98|34|54|0|0|0|8|55|19|8|0|28|1|9|13|11|50|6|1|0|9|1|53|26|16|13|8|3|3|32|6|2|20|2|5|19|90|10|10|14|78|1|4|11|2|11|0|5|2|2|14|4|3|1|0|2|3|1|2|3|0|3|3|5|0|4|11|4|7|8|4|6|1|1|2|8|49|28|96|79|83|8|83|75|57|79
Vampire Interloper|30|116|8|147|0|42|278|9|1|19|17|2|16|48|125|12|2|50|44|5|40|19|2|2|4|10|13|8|3|10|0|6|2|20|2|5|19|90|10|10|14|78|1|4|11|2|2|0|5|2|2|14|4|2|1|0|2|3|1|2|3|0|3|3|5|0|4|11|4|7|8|4|6|1|1|2|73|12|95|93|32|40|96|10|89|56|10
Victim of Night|30|767|8|147|0|42|285|9|55|22|17|13|16|48|125|1|2|50|44|1|40|19|2|2|8|10|8|0|0|10|0|6|2|20|2|5|19|90|10|0|14|78|1|0|11|2|2|5|5|1|2|19|4|3|1|0|2|3|1|1|3|0|3|3|5|0|4|11|4|7|8|4|6|1|1|2|44|59|83|77|1|68|54|83|38|9|30
Village Cannibals|29|389|60|14|8|37|274|12|1|0|10|13|0|22|17|14|11|4|14|30|127|17|27|33|4|32|8|0|10|7|13|6|2|20|2|5|19|90|10|0|14|78|1|0|11|2|1|5|5|1|2|19|4|2|1|0|2|3|1|1|3|0|3|3|5|0|4|11|4|7|8|4|6|1|1|2|35|72|28|14|92|55|16|40|70|39|44
Walking Corpse|15|0|17|283|8|33|974|26|8|4|165|3|32|6|272|54|13|16|23|8|14|6|128|46|17|70|40|18|23|8|6|0|2|20|2|5|19|90|10|0|14|78|1|0|11|2|3|5|5|1|4|0|6|19|1|0|3|3|1|1|3|0|3|3|5|0|4|11|4|7|26|4|6|1|1|2|72|93|82|1|4|52|52|90|92|0|51
Ancient Grudge|52|557|17|1|1|12|11|4|37|24|2|25|6|6|4|0|83|16|9|1|15|6|128|99|14|70|40|18|3|8|6|2|5|20|2|5|17|10|10|0|4|78|9|6|11|2|3|0|5|1|22|2|6|4|22|3|3|0|8|1|3|0|6|3|1|7|4|11|3|7|26|4|1|4|1|2|81|13|9|8|11|85|50|59|65|38|78
Ashmouth Hound|38|602|27|36|11|14|474|7|21|28|0|24|2|68|182|31|14|36|36|49|17|6|11|120|22|7|8|18|30|4|6|2|5|20|2|5|17|1|10|0|4|78|9|28|11|2|3|0|5|1|22|2|1|4|22|1|2|0|8|1|3|0|6|3|1|7|4|11|3|7|26|4|1|4|1|2|2|67|99|82|52|12|19|24|88|15|7
Balefire Dragon|38|4|27|5|11|14|474|7|21|28|1|24|2|2|182|31|14|36|36|49|17|6|11|2|22|7|8|18|2|4|6|2|5|3|2|5|17|1|2|0|4|78|9|28|11|2|3|0|5|1|22|2|1|4|22|1|2|0|8|1|3|0|6|3|1|7|4|11|3|7|26|4|1|4|1|2|68|2|47|13|40|52|74|62|67|87|26
Blasphemous Act|38|32|27|3|11|14|474|7|21|1|0|24|1|1|182|31|14|36|36|49|1|6|11|2|22|7|8|18|2|4|6|0|2|3|2|5|17|1|22|0|3|7|9|28|11|2|0|0|5|1|22|2|1|4|22|2|2|0|8|1|3|0|6|3|1|7|4|11|3|7|26|4|1|4|1|2|69|97|40|19|15|77|97|85|47|99|53
Bloodcrazed Neonate|3|152|10|37|11|2|0|1|8|1|60|3|9|41|34|10|1|5|6|46|35|10|11|39|3|3|2|18|9|1|1|0|2|6|2|5|17|1|22|3|3|1|9|28|2|2|2|0|5|6|22|2|1|1|2|1|2|0|8|1|3|0|6|3|1|7|4|11|3|7|26|4|1|4|1|2|77|36|57|74|45|93|65|63|34|48|4
Brimstone Volley|14|576|6|5|11|4|1244|1|6|8|28|3|34|20|24|7|0|5|0|29|12|16|11|172|4|0|2|0|9|13|1|0|7|6|2|5|17|1|22|2|3|24|4|28|2|7|4|0|5|6|22|4|1|2|19|1|2|0|8|0|1|0|6|1|1|7|4|11|3|7|26|4|1|4|1|2|24|12|36|81|29|47|82|72|3|66|89
Burning Vengeance|66|1039|8|36|15|15|411|13|7|74|112|11|1|56|61|20|5|6|25|22|43|1|13|78|3|5|67|2|4|14|20|0|6|6|2|5|17|4|22|2|3|2|4|14|1|1|4|2|5|9|2|1|1|2|8|0|2|8|8|6|1|0|6|1|1|6|4|7|3|7|26|4|1|4|1|2|29|19|56|11|8|72|0|7|24|90|31
Charmbreaker Devils|24|24|10|32|15|25|211|13|7|19|4|13|10|20|3|18|10|6|2|18|6|1|13|54|6|5|2|2|4|14|11|0|50|1|2|5|17|6|22|2|3|8|4|9|1|3|4|2|5|9|2|1|2|2|8|4|0|8|8|6|0|0|0|1|0|6|4|7|3|7|26|4|1|4|1|2|41|94|37|75|58|44|48|43|75|95|2
Crossway Vampire|19|270|11|27|15|21|39|2|0|25|82|7|7|35|55|5|23|1|32|25|34|23|30|19|4|3|21|2|17|9|6|0|50|1|2|5|17|6|22|2|3|8|4|9|1|3|4|2|5|9|2|3|2|2|5|4|0|8|8|6|0|0|0|1|0|6|4|7|3|7|26|4|1|4|1|2|46|52|69|36|76|76|93|72|8|75|13
Curse of Stalked Prey|4|25|2|5|15|3|50|3|0|25|2|4|8|10|55|21|23|1|32|32|1|23|0|19|8|4|17|2|4|9|2|13|21|1|2|1|2|6|22|5|3|8|4|9|1|3|4|2|5|9|2|2|2|2|18|4|3|2|8|2|0|0|0|1|1|6|4|7|3|7|26|4|1|4|1|2|49|49|9|27|22|15|54|65|68|57|3
Curse of the Nightly Hunt|8|374|34|11|26|21|438|1|3|18|32|7|10|48|73|62|7|7|3|22|65|6|4|15|2|4|17|2|3|2|1|13|10|1|2|1|2|1|22|5|3|8|4|16|2|3|4|2|5|9|1|2|2|6|1|4|3|2|8|2|0|0|0|1|1|6|4|7|3|7|26|4|1|4|1|2|97|73|73|92|28|26|93|14|11|22|85
Curse of the Pierced Heart|8|49|34|11|26|21|8|1|1|18|2|7|10|2|73|2|7|7|3|22|65|3|4|9|1|4|17|2|3|1|1|13|14|1|2|1|2|1|22|5|3|8|4|16|2|3|4|2|3|1|1|2|2|6|1|0|3|2|8|2|0|0|0|1|1|6|4|7|3|7|26|4|1|4|1|2|62|38|27|78|57|81|63|47|7|51|36
Desperate Ravings|73|495|44|13|19|53|976|10|13|140|158|10|6|39|185|44|51|7|31|15|77|2|20|97|4|34|30|2|91|1|54|13|25|1|2|1|2|3|22|0|3|51|4|29|1|4|1|1|3|13|22|9|2|6|10|0|3|2|8|6|1|0|4|1|1|29|2|11|3|5|26|4|0|4|1|2|31|84|84|87|30|36|26|41|89|12|84
